gg pf ps gs c mdif
1 65 76 2 4 0
2 69 74 3 0 0
3 78 60 0 0 0
4 79 73 1 1 0
5 64 66.5 0 0 0
6 65.5 70.5 1 3 0
7 65 74 0 1 1
8 73.5 74.5 0 0 0
9 70 65 3 2 1
10 71 71.5 1 1 1
11 44.5 73 4 2 0
12 76.5 70.5 0 1 1
13 72 73 1 2 1
14 79.5 70.5 0 1 3
15 71.5 75.5 0 2 1
16 70 59.5 0 1 1
17 78 74 0 2 1
18 83.5 72 2 1 1
19 76 84 1 0 1
20 80 62.5 0 2 1
21 67.5 73.5 0 3 0
22 70 71 0 2 3
23 70.5 76.5 0 3 3
24 69.5 71 0 4 1
25 86 72 0 3 1
26 72.5 65.5 1 0 0
27 73.5 68.5 0 3 0
28 68 72.5 1 1 0
29 67 66 2 2 0
30 69.5 58.5 2 1 0
31 72.5 64 1 0 1
32 62.5 62 2 1 1
33 75.5 68 0 0 0
34 75 68 1 2 1
35 72.5 72.5 1 1 0
