gg pf ps gs c mdif
1 68.5 69.5 0 3 0
2 74 69 0 2 0
3 79.5 63 0 3 0
4 65.5 67.5 0 1 0
5 62.5 76.5 1 2 0
6 65 85.5 2 3 0
7 73.5 75 0 1 0
8 70.5 59 0 2 0
9 65 70 3 1 0
10 67.5 90 1 0 0
11 78.5 77.5 1 4 0
12 73.5 67 1 0 0
13 61 78.5 1 5 0
14 62 73.5 2 2 0
15 70 62 1 3 0
16 59.5 70 1 0 0
17 71 61 0 1 0
18 72 90.5 1 1 0
19 58.5 73.5 2 1 0
20 79 71 0 2 0
21 74 63.5 0 1 0
22 83 68.5 0 4 1
23 76.5 70.5 2 1 0
24 79 82 0 3 1
25 61.5 74 0 1 1
26 65.5 70 1 2 3
27 76 75 1 2 0
28 69 59 0 2 0
29 82.5 74 1 2 3
30 58.5 69.5 2 3 0
31 66 77.5 1 6 1
32 69.5 63 2 4 0
33 70.5 73 1 2 1
34 68 59 3 1 0
35 81.5 71.5 1 2 1
