Game,Luck Index,team
1,0.0,enrico
2,-1.5,enrico
3,-0.2,enrico
4,-1.0,enrico
5,-1.9,enrico
6,-1.6,enrico
7,-0.2,enrico
8,0.0,enrico
9,0.0,enrico
10,-2.7,enrico
11,1.0,enrico
12,-0.8,enrico
13,0.0,enrico
14,-0.8,enrico
15,0.0,enrico
16,-3.0,enrico
17,1.8,enrico
18,0.0,enrico
19,-2.4,enrico
20,-0.6,enrico
21,-1.0,enrico
22,-2.2,enrico
23,-0.2,enrico
24,-0.4,enrico
25,3.2,enrico
26,-0.2,enrico
27,-0.2,enrico
1,-2.0,fabio
2,-0.4,fabio
3,0.4,fabio
4,2.4,fabio
5,0.6,fabio
6,0.8,fabio
7,-1.2,fabio
8,0.6,fabio
9,-1.5,fabio
10,-0.3,fabio
11,-0.4,fabio
12,1.2,fabio
13,1.0,fabio
14,0.6,fabio
15,-1.0,fabio
16,-0.3,fabio
17,0.0,fabio
18,1.4,fabio
19,0.5,fabio
20,-1.3,fabio
21,-0.4,fabio
22,1.2,fabio
23,0.8,fabio
24,-0.8,fabio
25,0.8,fabio
26,1.3,fabio
27,-0.2,fabio
1,-1.2,gabriele
2,2.0,gabriele
3,-0.4,gabriele
4,0.4,gabriele
5,0.0,gabriele
6,-0.2,gabriele
7,2.2,gabriele
8,-1.0,gabriele
9,2.0,gabriele
10,2.8,gabriele
11,0.2,gabriele
12,-0.8,gabriele
13,0.0,gabriele
14,1.0,gabriele
15,1.4,gabriele
16,0.0,gabriele
17,1.0,gabriele
18,-0.2,gabriele
19,0.0,gabriele
20,0.0,gabriele
21,-0.7,gabriele
22,0.8,gabriele
23,-0.2,gabriele
24,-1.0,gabriele
25,-1.2,gabriele
26,0.6,gabriele
27,0.0,gabriele
1,2.8,gianluca
2,0.2,gianluca
3,1.0,gianluca
4,-1.0,gianluca
5,0.4,gianluca
6,0.0,gianluca
7,0.0,gianluca
8,0.0,gianluca
9,0.0,gianluca
10,-0.8,gianluca
11,0.4,gianluca
12,0.0,gianluca
13,-0.8,gianluca
14,-0.6,gianluca
15,-0.5,gianluca
16,0.8,gianluca
17,0.0,gianluca
18,-1.6,gianluca
19,0.9,gianluca
20,0.6,gianluca
21,0.0,gianluca
22,-0.4,gianluca
23,0.8,gianluca
24,-1.6,gianluca
25,-1.2,gianluca
26,-1.2,gianluca
27,1.2,gianluca
1,1.0,luca
2,-1.8,luca
3,0.4,luca
4,0.4,luca
5,-1.2,luca
6,-0.2,luca
7,-0.2,luca
8,-0.2,luca
9,-1.0,luca
10,1.8,luca
11,0.8,luca
12,0.6,luca
13,1.6,luca
14,0.0,luca
15,1.4,luca
16,2.2,luca
17,-1.2,luca
18,1.8,luca
19,-0.6,luca
20,2.0,luca
21,1.6,luca
22,-1.3,luca
23,0.8,luca
24,0.0,luca
25,-0.8,luca
26,-1.8,luca
27,1.8,luca
1,-0.2,riccardo
2,0.0,riccardo
3,-1.8,riccardo
4,-0.2,riccardo
5,2.2,riccardo
6,1.8,riccardo
7,-0.2,riccardo
8,0.1,riccardo
9,1.6,riccardo
10,0.6,riccardo
11,-2.2,riccardo
12,0.0,riccardo
13,-1.1,riccardo
14,-0.6,riccardo
15,-2.4,riccardo
16,-0.8,riccardo
17,-0.8,riccardo
18,-0.4,riccardo
19,0.2,riccardo
20,0.0,riccardo
21,0.0,riccardo
22,0.2,riccardo
23,-1.2,riccardo
24,1.6,riccardo
25,-0.5,riccardo
26,0.0,riccardo
27,-2.4,riccardo
