gg pf ps gs c mdif
1 68 64 1 0 0.5
2 66 67 2 2 0
3 71.5 73.5 1 1 0.5
4 72 78.5 0 2 1
5 76.5 64.5 1 0 1
6 61.5 73 1 3 0
7 79.5 73.5 2 1 1
8 64 78 1 0 0.5
9 85 75 0 1 3
10 65.5 67.5 1 0 0
11 76 72 1 3 1
12 63.5 74 2 1 0.5
13 72 86 2 1 0
14 68 85.5 4 1 0.5
15 62.5 67 5 0 0
16 77 71 1 0 1
17 77.5 65.5 0 0 0
18 74.5 92.5 0 1 1
19 66 68.5 0 2 0.5
20 67 68 2 1 2
21 76.5 65 1 0 1
22 70.5 75.5 3 3 1
23 71.5 63.5 0 1 0.5
24 66.5 76.5 0 1 0
25 73 73 1 2 1
26 69 88.5 0 1 0.5
27 72.5 62 1 0 1
28 68.5 72.5 1 0 1
