gg pf ps gs c mdif
1 78 73 2 0 0.5
2 78 77.5 1 1 0.5
3 82.5 76.5 0 0 0.5
4 78.5 72 1 0 0
5 75.5 72.5 0 1 0
6 75 75 0 3 1
7 75.5 75.5 0 1 2
8 69 68.5 2 2 0
9 75 85 1 0 0
10 66.5 62 0 3 0
11 69 70 0 2 0
12 78 69.5 0 4 0
13 78 74.5 0 1 0
14 85.5 68 1 2 0
15 61 65 2 3 0
16 75 66 0 1 0.5
17 69.5 72.5 0 2 1
18 71.5 67.5 1 0 1
19 68.5 66 1 4 2
20 71 69.5 0 1 1
21 71.5 67 2 1 0.5
22 77.5 79 1 1 1
23 74 67 0 2 1
