Game,Luck Index,team
1,1.2,enrico
2,-0.6,enrico
3,0.5,enrico
4,1.0,enrico
5,2.8,enrico
6,-0.3,enrico
7,1.8,enrico
8,-2.4,enrico
9,1.8,enrico
10,-0.8,enrico
11,1.0,enrico
12,-2.4,enrico
13,-0.2,enrico
14,2.2,enrico
15,0.0,enrico
16,-0.7,enrico
17,0.0,enrico
18,-1.8,enrico
19,1.0,enrico
20,0.0,enrico
21,-0.2,enrico
22,0.6,enrico
23,-1.3,enrico
24,1.4,enrico
25,0.4,enrico
26,-1.0,enrico
27,-0.8,enrico
28,0.4,enrico
29,0.0,enrico
30,-1.6,enrico
31,1.0,enrico
32,-0.2,enrico
33,-0.4,enrico
1,0.0,fabio
2,0.2,fabio
3,0.2,fabio
4,0.4,fabio
5,0.0,fabio
6,-0.2,fabio
7,-0.4,fabio
8,0.6,fabio
9,-0.8,fabio
10,0.0,fabio
11,1.0,fabio
12,1.4,fabio
13,1.2,fabio
14,-0.5,fabio
15,0.6,fabio
16,-0.2,fabio
17,0.0,fabio
18,-1.2,fabio
19,-0.8,fabio
20,2.8,fabio
21,-1.7,fabio
22,0.0,fabio
23,0.0,fabio
24,-0.2,fabio
25,-1.0,fabio
26,1.0,fabio
27,3.2,fabio
28,0.4,fabio
29,-1.0,fabio
30,0.0,fabio
31,0.0,fabio
32,-0.2,fabio
33,-0.4,fabio
1,-0.2,gabriele
2,1.0,gabriele
3,0.2,gabriele
4,-0.1,gabriele
5,-1.1,gabriele
6,-3.0,gabriele
7,0.0,gabriele
8,0.0,gabriele
9,-0.4,gabriele
10,0.0,gabriele
11,-0.2,gabriele
12,1.6,gabriele
13,-0.2,gabriele
14,-1.6,gabriele
15,0.7,gabriele
16,-0.6,gabriele
17,0.0,gabriele
18,1.8,gabriele
19,0.0,gabriele
20,1.0,gabriele
21,1.8,gabriele
22,-0.2,gabriele
23,0.6,gabriele
24,-1.6,gabriele
25,0.0,gabriele
26,1.3,gabriele
27,0.8,gabriele
28,-0.2,gabriele
29,0.6,gabriele
30,-0.3,gabriele
31,0.0,gabriele
32,1.6,gabriele
33,0.6,gabriele
1,-1.2,gianluca
2,0.0,gianluca
3,-1.3,gianluca
4,-1.0,gianluca
5,-0.4,gianluca
6,0.8,gianluca
7,-1.2,gianluca
8,0.4,gianluca
9,0.0,gianluca
10,1.0,gianluca
11,-0.2,gianluca
12,3.2,gianluca
13,0.4,gianluca
14,-1.6,gianluca
15,-1.8,gianluca
16,0.8,gianluca
17,-2.4,gianluca
18,-1.2,gianluca
19,0.0,gianluca
20,-2.0,gianluca
21,1.0,gianluca
22,0.0,gianluca
23,-0.6,gianluca
24,0.0,gianluca
25,-1.0,gianluca
26,-0.9,gianluca
27,-1.0,gianluca
28,0.0,gianluca
29,0.0,gianluca
30,0.0,gianluca
31,-2.0,gianluca
32,-1.8,gianluca
33,1.2,gianluca
1,0.6,luca
2,1.8,luca
3,-0.4,luca
4,-1.4,luca
5,-1.0,luca
6,-0.5,luca
7,0.0,luca
8,0.0,luca
9,-0.6,luca
10,1.0,luca
11,0.0,luca
12,-1.1,luca
13,0.4,luca
14,-0.2,luca
15,-0.4,luca
16,2.6,luca
17,0.0,luca
18,0.4,luca
19,-0.8,luca
20,-1.1,luca
21,-0.3,luca
22,-1.2,luca
23,2.0,luca
24,1.4,luca
25,0.4,luca
26,-1.4,luca
27,-1.6,luca
28,-2.2,luca
29,-1.0,luca
30,2.4,luca
31,2.2,luca
32,1.2,luca
33,0.0,luca
1,-0.2,riccardo
2,-2.1,riccardo
3,1.0,riccardo
4,-2.0,riccardo
5,0.8,riccardo
6,2.0,riccardo
7,-0.1,riccardo
8,0.4,riccardo
9,1.4,riccardo
10,-0.8,riccardo
11,-1.2,riccardo
12,-0.2,riccardo
13,-1.2,riccardo
14,1.6,riccardo
15,0.4,riccardo
16,-2.2,riccardo
17,2.0,riccardo
18,0.4,riccardo
19,1.0,riccardo
20,0.0,riccardo
21,0.4,riccardo
22,-0.2,riccardo
23,0.0,riccardo
24,-0.2,riccardo
25,2.0,riccardo
26,1.2,riccardo
27,-0.5,riccardo
28,1.0,riccardo
29,0.5,riccardo
30,-1.2,riccardo
31,-0.8,riccardo
32,0.4,riccardo
33,-0.4,riccardo
