Game,Luck Index,team
1,0.0,enrico
2,-0.4,enrico
3,0.3,enrico
4,0.0,enrico
5,2.4,enrico
6,0.3,enrico
7,-0.4,enrico
8,-1.1,enrico
9,-1.2,enrico
10,0.0,enrico
11,-1.0,enrico
12,0.8,enrico
13,0.0,enrico
14,0.0,enrico
15,-0.8,enrico
16,1.6,enrico
17,0.0,enrico
18,-2.0,enrico
19,-1.4,enrico
20,0.0,enrico
21,1.6,enrico
22,0.0,enrico
23,1.2,enrico
24,1.8,enrico
25,1.6,enrico
26,-1.4,enrico
27,1.6,enrico
28,1.2,enrico
29,0.0,enrico
30,-1.2,enrico
31,0.0,enrico
32,1.0,enrico
33,-0.2,enrico
34,0.1,enrico
35,0.0,enrico
1,1.8,fabio
2,-1.9,fabio
3,-1.5,fabio
4,0.0,fabio
5,0.0,fabio
6,0.2,fabio
7,-2.4,fabio
8,-1.3,fabio
9,0.0,fabio
10,-0.8,fabio
11,-0.2,fabio
12,2.2,fabio
13,-1.0,fabio
14,0.0,fabio
15,0.0,fabio
16,-0.3,fabio
17,0.6,fabio
18,1.0,fabio
19,-2.0,fabio
20,1.8,fabio
21,-0.4,fabio
22,0.6,fabio
23,0.0,fabio
24,-0.6,fabio
25,-1.0,fabio
26,1.3,fabio
27,0.0,fabio
28,-0.1,fabio
29,-0.2,fabio
30,-1.8,fabio
31,-1.8,fabio
32,-0.4,fabio
33,0.8,fabio
34,-0.2,fabio
35,0.0,fabio
1,-1.8,gianluca
2,0.9,gianluca
3,-1.2,gianluca
4,0.5,gianluca
5,-1.6,gianluca
6,0.0,gianluca
7,0.0,gianluca
8,1.4,gianluca
9,-1.2,gianluca
10,0.4,gianluca
11,0.0,gianluca
12,-1.1,gianluca
13,0.0,gianluca
14,0.6,gianluca
15,-2.4,gianluca
16,-0.2,gianluca
17,-0.2,gianluca
18,0.0,gianluca
19,-0.9,gianluca
20,0.0,gianluca
21,0.0,gianluca
22,-2.0,gianluca
23,-0.8,gianluca
24,-0.2,gianluca
25,-2.8,gianluca
26,0.4,gianluca
27,-0.8,gianluca
28,0.0,gianluca
29,-1.4,gianluca
30,0.4,gianluca
31,0.0,gianluca
32,0.0,gianluca
33,1.8,gianluca
34,0.6,gianluca
35,-0.6,gianluca
1,0.0,giulio
2,0.4,giulio
3,0.6,giulio
4,-0.1,giulio
5,-0.1,giulio
6,0.0,giulio
7,1.4,giulio
8,1.8,giulio
9,1.5,giulio
10,0.4,giulio
11,-1.6,giulio
12,-0.8,giulio
13,0.6,giulio
14,-1.1,giulio
15,-0.6,giulio
16,0.4,giulio
17,-1.4,giulio
18,-0.2,giulio
19,2.2,giulio
20,-0.9,giulio
21,-1.6,giulio
22,1.0,giulio
23,2.2,giulio
24,0.0,giulio
25,2.2,giulio
26,-1.4,giulio
27,-1.0,giulio
28,-2.2,giulio
29,1.6,giulio
30,0.8,giulio
31,-2.4,giulio
32,-0.4,giulio
33,-0.2,giulio
34,0.0,giulio
35,-1.4,giulio
1,-0.6,luca
2,0.0,luca
3,1.8,luca
4,-0.4,luca
5,0.0,luca
6,-1.0,luca
7,-1.2,luca
8,0.0,luca
9,-0.6,luca
10,2.2,luca
11,2.8,luca
12,-1.4,luca
13,0.3,luca
14,1.8,luca
15,-0.2,luca
16,1.8,luca
17,1.6,luca
18,3.0,luca
19,0.0,luca
20,-0.6,luca
21,1.8,luca
22,0.0,luca
23,0.0,luca
24,0.0,luca
25,-0.2,luca
26,-0.2,luca
27,0.4,luca
28,1.6,luca
29,-0.2,luca
30,0.4,luca
31,0.9,luca
32,-0.4,luca
33,-1.2,luca
34,0.0,luca
35,1.6,luca
1,0.6,riccardo
2,0.6,riccardo
3,0.0,riccardo
4,-1.6,riccardo
5,-1.6,riccardo
6,-1.2,riccardo
7,1.8,riccardo
8,0.8,riccardo
9,-0.9,riccardo
10,-1.8,riccardo
11,-0.4,riccardo
12,0.0,riccardo
13,-0.6,riccardo
14,-0.8,riccardo
15,3.6,riccardo
16,-2.0,riccardo
17,-0.2,riccardo
18,-0.8,riccardo
19,1.4,riccardo
20,-1.2,riccardo
21,-0.3,riccardo
22,-0.6,riccardo
23,-2.4,riccardo
24,-2.6,riccardo
25,-0.5,riccardo
26,0.4,riccardo
27,0.4,riccardo
28,-0.8,riccardo
29,0.6,riccardo
30,0.8,riccardo
31,2.0,riccardo
32,1.0,riccardo
33,-1.2,riccardo
34,-1.0,riccardo
35,0.6,riccardo
