gg pf ps gs c mdif
1 83.5 64.5 0 4 0
2 84 79.5 3 2 0
3 69.5 75 1 0 0
4 69.5 66 0 2 0
5 79 76.5 0 0 0
6 73.5 71 0 2 0
7 82 80 1 3 3
8 80.5 69 0 2 3
9 71 71.5 2 1 1
10 78 84.5 1 1 1
11 72 73 2 3 0
12 70 79 0 2 3
13 74 72.5 0 0 0
14 75.5 87 1 2 0
15 67 65 0 2 0
16 75.5 77.5 1 1 3
17 70.5 79.5 3 2 1
18 70.5 72.5 2 1 1
19 75 70.5 1 4 1
20 82.5 82 2 0 0
21 69 73.5 0 3 0
22 75.5 73.5 1 0 0
23 80 91 2 1 0
24 85 81 3 1 3
25 62.5 66 2 2 0
26 84 73.5 0 1 3
27 85 66 1 4 3
28 67 71 3 3 1
29 79 74 2 0 0
30 68 68 1 0 0
31 74 69 0 1 0
32 84.5 72 2 2 1
33 86.5 86.5 0 1 0
34 71.5 78 3 3 0
35 80.5 73 2 0 0
